seq,first_name,last_name,age,street,city,state,zip,dollar,pick,date
1,Maurice,Farmer,29,Rega Junction,Mihodulo,TX,27679,$6174.56,RED,12/07/1933
2,Loretta,Boone,50,Wejgig Park,Riuweru,MN,13630,$512.02,RED,08/20/1915
3,Jeanette,Bowen,19,Ferit Point,Ivipmo,VT,43744,$1812.99,GREEN,01/08/2045
4,Gussie,Hawkins,40,Nuna Ridge,Ujbefja,NC,35585,$5610.87,YELLOW,12/26/1924
5,Hattie,Warren,52,Sohed Extension,Enuneib,NY,95540,$9645.81,GREEN,02/12/2026
6,Norman,Berry,23,Pagzo Road,Oktoud,TN,30327,$5019.34,YELLOW,12/06/1914
7,Minnie,Crawford,22,Letaji Glen,Piwlewem,DE,79889,$4409.52,YELLOW,10/15/1980
8,Gerald,Holland,64,Lijaca Avenue,Ubuwan,KY,23868,$9155.73,GREEN,05/25/1902
9,Lydia,Sutton,23,Ufna Way,Cenegbo,CA,94088,$3137.71,RED,12/30/2001
10,Pearl,Powers,48,Pagfa Terrace,Hibojfos,MS,79891,$900.14,BLUE,04/15/2002
11,Brandon,Henry,19,Wehaj View,Naakaka,AL,77245,$918.43,GREEN,11/10/1929
12,Fanny,Hernandez,18,Ajna Plaza,Teseves,VA,82588,$8498.87,GREEN,11/25/2050
13,Alexander,Hunt,52,Neez Center,Igsunuri,NJ,08092,$8362.74,GREEN,06/02/2022
14,Ina,Bates,42,Inma Manor,Sefela,KS,02506,$635.93,RED,03/30/2064
15,Lillie,Fuller,47,Pozu Extension,Kugugso,WI,17480,$7014.51,GREEN,11/29/2069
16,Rachel,Curry,21,Dubraf Pike,Minado,NE,23200,$2665.40,RED,09/30/2046
17,Virgie,Hansen,23,Kehu Pass,Adigojgam,TX,70852,$9883.45,WHITE,06/01/2057
18,Emilie,Moody,24,Kuslid Way,Anetunbog,AL,83422,$6854.00,GREEN,12/31/2039
19,Walter,Howard,45,Juun Glen,Alvoviji,MT,19377,$6214.00,GREEN,09/06/1912
20,Willie,Steele,28,Pobnu Terrace,Banizes,AK,55557,$9187.05,BLUE,02/23/1917
21,Thomas,Russell,62,Vedobu Highway,Abutteb,AR,59623,$1216.57,WHITE,04/30/1973
22,Ian,Griffin,44,Cevbe Drive,Maguzju,UT,40429,$5298.20,GREEN,12/26/2037
23,Lucas,Knight,24,Zoglul Extension,Nuswugnip,SD,10409,$6572.65,YELLOW,08/07/2030
24,Francisco,Hoffman,62,Ugohu Key,Topakpiz,OH,97231,$9875.85,RED,07/08/2010
25,Jeremiah,Patton,48,Bettit Grove,Ugeuhocot,TX,10178,$1205.76,RED,07/19/1958
26,Timothy,Higgins,65,Egovib Path,Riifnaf,AL,59974,$7049.54,GREEN,05/12/2007
27,Eliza,Castro,51,Coef Park,Bozbubsih,KY,60298,$3330.93,BLUE,09/08/2014
28,Olive,Francis,48,Elpef Plaza,Vosarza,AK,22112,$7032.42,BLUE,03/29/1976
29,Craig,Sandoval,43,Akuuvo Grove,Ruwrosgu,NH,32179,$4736.08,GREEN,02/16/1931
30,Lewis,Hunter,45,Kibozi Pike,Petjekah,AZ,86520,$8758.26,BLUE,10/15/1935
31,Vincent,Obrien,19,Potoc Path,Uzufuhap,MT,58991,$7074.14,BLUE,11/13/1949
32,Mamie,Holland,51,Hoube Point,Valeske,MO,32165,$984.06,GREEN,06/23/1948
33,Rose,McGee,20,Wemoto Extension,Gufegaw,AL,05125,$7023.42,RED,02/08/1902
34,Myrtie,Carlson,48,Tatviw Court,Olorife,FL,53389,$252.70,WHITE,02/19/1997
35,Ricardo,Hines,57,Jevtus Mill,Ramobva,NE,85118,$4146.87,BLUE,01/31/1936
36,Mollie,Douglas,48,Poma Parkway,Ipedeked,DE,37162,$9364.06,YELLOW,07/28/1938
37,Mark,Grant,50,Cilum Street,Kajogrew,PA,65715,$5229.34,RED,08/22/1902
38,Andre,Silva,36,Diman Terrace,Zafdenak,IA,19044,$3981.49,WHITE,09/01/1923
39,Norman,Underwood,55,Fumlo Plaza,Degenvop,OH,62996,$2362.02,YELLOW,02/06/2061
40,Mason,Hansen,35,Micreb Road,Errimuf,ND,90358,$4184.66,BLUE,08/28/1933
41,Sally,Lawrence,26,Jahoc Turnpike,Apsogbaz,VT,34995,$4187.24,GREEN,08/21/2047
42,Eugene,Schneider,29,Bolo Parkway,Dagfuber,CT,62005,$5773.33,RED,11/22/1905
43,Fred,Herrera,37,Zigab Highway,Dokekze,MO,87188,$7104.56,WHITE,02/22/2038
44,May,Smith,29,Imuj View,Puvusil,VT,00074,$80.95,WHITE,05/19/1901
45,Victor,Cooper,24,Zokzel Center,Tozbalbe,IN,15630,$7228.28,WHITE,03/27/1929
46,Mable,Meyer,48,Nosip Park,Lebuvne,AR,01778,$2637.12,GREEN,07/10/1970
47,Lucas,Wade,32,Otbe Junction,Ajuufma,MD,00169,$2090.26,BLUE,03/12/1927
48,Emily,Lee,22,Gawu Drive,Duseih,ME,44940,$9584.10,YELLOW,02/14/1947
